institution_a,profile_a,severity_a,institution_b,profile_b,severity_b,severity_gap,feature_l1_distance
INST_021,1,0.4641025641025641,INST_051,2,0.5,0.03589743589743588,7.966666666666667
INST_023,1,0.5358974358974359,INST_051,2,0.5,0.03589743589743588,4.866666666666667
INST_005,1,0.5974358974358974,INST_065,2,0.5615384615384615,0.03589743589743588,4.2
INST_010,1,0.47564102564102567,INST_054,2,0.43974358974358974,0.035897435897435936,5.2
INST_047,1,0.4269230769230769,INST_071,2,0.46282051282051284,0.035897435897435936,4.366666666666667
INST_039,2,0.5166666666666666,INST_045,1,0.5525641025641026,0.03589743589743599,4.033333333333333
INST_022,2,0.4589743589743589,INST_028,1,0.4217948717948718,0.0371794871794871,6.816666666666666
INST_049,1,0.5371794871794872,INST_051,2,0.5,0.03717948717948716,8.850000000000001
INST_054,2,0.43974358974358974,INST_078,1,0.4025641025641026,0.03717948717948716,4.983333333333333
INST_054,2,0.43974358974358974,INST_072,1,0.47692307692307695,0.037179487179487214,8.183333333333334
INST_029,1,0.5910256410256409,INST_037,2,0.6282051282051283,0.03717948717948738,5.6499999999999995
INST_023,1,0.5358974358974359,INST_036,2,0.4974358974358974,0.03846153846153849,3.166666666666667
INST_064,1,0.42435897435897435,INST_071,2,0.46282051282051284,0.03846153846153849,3.0
INST_066,1,0.42435897435897435,INST_071,2,0.46282051282051284,0.03846153846153849,3.0
INST_023,1,0.5358974358974359,INST_034,2,0.4974358974358974,0.03846153846153849,2.6666666666666665
INST_022,2,0.4589743589743589,INST_055,1,0.41923076923076924,0.03974358974358966,7.8500000000000005
INST_039,2,0.5166666666666666,INST_072,1,0.47692307692307695,0.03974358974358966,7.8500000000000005
INST_012,1,0.5628205128205128,INST_074,2,0.6025641025641025,0.03974358974358971,8.183333333333334
INST_016,1,0.4,INST_054,2,0.43974358974358974,0.03974358974358971,7.683333333333333
INST_036,2,0.4974358974358974,INST_049,1,0.5371794871794872,0.03974358974358977,7.15
INST_034,2,0.4974358974358974,INST_049,1,0.5371794871794872,0.03974358974358977,6.65
INST_033,1,0.4384615384615384,INST_041,2,0.47820512820512817,0.03974358974358977,4.3500000000000005
INST_037,2,0.6282051282051283,INST_068,1,0.5884615384615384,0.039743589743589935,7.183333333333334
INST_037,2,0.6282051282051283,INST_081,1,0.5884615384615384,0.039743589743589935,7.183333333333334
INST_010,1,0.47564102564102567,INST_039,2,0.5166666666666666,0.041025641025640935,4.366666666666667
INST_048,1,0.541025641025641,INST_051,2,0.5,0.04102564102564099,9.3
INST_028,1,0.4217948717948718,INST_071,2,0.46282051282051284,0.041025641025641046,5.699999999999999
INST_001,2,0.5192307692307693,INST_072,1,0.47692307692307695,0.042307692307692324,10.55
INST_039,2,0.5166666666666666,INST_053,1,0.4730769230769231,0.04358974358974349,4.733333333333333
INST_001,2,0.5192307692307693,INST_012,1,0.5628205128205128,0.043589743589743546,9.266666666666667
INST_041,2,0.47820512820512817,INST_073,1,0.4346153846153846,0.043589743589743546,4.4
INST_003,1,0.6615384615384615,INST_027,2,0.7051282051282051,0.043589743589743546,4.066666666666666
INST_036,2,0.4974358974358974,INST_048,1,0.541025641025641,0.0435897435897436,7.6
INST_001,2,0.5192307692307693,INST_010,1,0.47564102564102567,0.0435897435897436,7.566666666666667
INST_034,2,0.4974358974358974,INST_048,1,0.541025641025641,0.0435897435897436,7.1
INST_055,1,0.41923076923076924,INST_071,2,0.46282051282051284,0.0435897435897436,6.733333333333333
INST_067,1,0.5076923076923078,INST_071,2,0.46282051282051284,0.044871794871794934,3.9166666666666665
INST_011,1,0.45128205128205134,INST_036,2,0.4974358974358974,0.046153846153846045,8.266666666666666
INST_036,2,0.4974358974358974,INST_079,1,0.45128205128205134,0.046153846153846045,8.266666666666666
INST_011,1,0.45128205128205134,INST_034,2,0.4974358974358974,0.046153846153846045,7.766666666666667
INST_034,2,0.4974358974358974,INST_079,1,0.45128205128205134,0.046153846153846045,7.766666666666667
INST_039,2,0.5166666666666666,INST_075,1,0.47051282051282056,0.046153846153846045,7.266666666666667
INST_006,1,0.6076923076923076,INST_065,2,0.5615384615384615,0.0461538461538461,6.566666666666666
INST_070,1,0.5089743589743589,INST_071,2,0.46282051282051284,0.0461538461538461,5.8999999999999995
INST_001,2,0.5192307692307693,INST_053,1,0.4730769230769231,0.046153846153846156,7.933333333333334
INST_054,2,0.43974358974358974,INST_057,1,0.4858974358974359,0.046153846153846156,6.566666666666666
INST_032,1,0.4858974358974359,INST_054,2,0.43974358974358974,0.046153846153846156,5.4
INST_012,1,0.5628205128205128,INST_039,2,0.5166666666666666,0.04615384615384621,6.066666666666666
INST_037,2,0.6282051282051283,INST_059,1,0.582051282051282,0.04615384615384632,7.6000000000000005
INST_019,1,0.4692307692307693,INST_039,2,0.5166666666666666,0.04743589743589732,3.7833333333333337
INST_011,1,0.45128205128205134,INST_051,2,0.5,0.048717948717948656,9.966666666666667
INST_051,2,0.5,INST_079,1,0.45128205128205134,0.048717948717948656,9.966666666666667
INST_001,2,0.5192307692307693,INST_075,1,0.47051282051282056,0.04871794871794871,10.466666666666667
INST_002,1,0.5115384615384616,INST_071,2,0.46282051282051284,0.04871794871794877,5.533333333333333
INST_022,2,0.4589743589743589,INST_067,1,0.5076923076923078,0.04871794871794888,5.033333333333333
INST_045,1,0.5525641025641026,INST_074,2,0.6025641025641025,0.04999999999999993,5.6499999999999995
INST_002,1,0.5115384615384616,INST_065,2,0.5615384615384615,0.04999999999999993,5.3166666666666655
INST_001,2,0.5192307692307693,INST_019,1,0.4692307692307693,0.04999999999999999,5.983333333333333
INST_013,1,0.4282051282051282,INST_041,2,0.47820512820512817,0.04999999999999999,5.983333333333333
